;Date;canyon;detector
226;13/08/2017;Arugot;proximity loggers
227;13/08/2017;Arugot;proximity loggers
228;13/08/2017;Arugot;proximity loggers
229;13/08/2017;Arugot;proximity loggers
230;13/08/2017;Arugot;proximity loggers
231;13/08/2017;Arugot;proximity loggers
232;13/08/2017;Arugot;proximity loggers
233;13/08/2017;Arugot;proximity loggers
234;13/08/2017;Arugot;proximity loggers
235;13/08/2017;Arugot;proximity loggers
236;13/08/2017;Arugot;proximity loggers
237;13/08/2017;Arugot;proximity loggers
238;13/08/2017;Arugot;proximity loggers
239;13/08/2017;Arugot;proximity loggers
240;13/08/2017;Arugot;proximity loggers
241;13/08/2017;Arugot;proximity loggers
242;13/08/2017;Arugot;proximity loggers
243;13/08/2017;Arugot;proximity loggers
244;14/08/2017;Arugot;proximity loggers
245;14/08/2017;Arugot;proximity loggers
246;14/08/2017;Arugot;proximity loggers
247;14/08/2017;Arugot;proximity loggers
248;14/08/2017;Arugot;proximity loggers
249;15/08/2017;Arugot;proximity loggers
250;15/08/2017;Arugot;proximity loggers
251;15/08/2017;Arugot;proximity loggers
252;15/08/2017;Arugot;proximity loggers
253;15/08/2017;Arugot;proximity loggers
254;15/08/2017;Arugot;proximity loggers
255;15/08/2017;Arugot;proximity loggers
256;15/08/2017;Arugot;proximity loggers
257;15/08/2017;Arugot;proximity loggers
258;15/08/2017;Arugot;proximity loggers
259;15/08/2017;Arugot;proximity loggers
260;15/08/2017;Arugot;proximity loggers
261;15/08/2017;Arugot;proximity loggers
262;15/08/2017;Arugot;proximity loggers
263;15/08/2017;Arugot;proximity loggers
264;15/08/2017;Arugot;proximity loggers
265;15/08/2017;Arugot;proximity loggers
266;15/08/2017;Arugot;proximity loggers
267;15/08/2017;Arugot;proximity loggers
268;15/08/2017;Arugot;proximity loggers
269;15/08/2017;Arugot;proximity loggers
270;15/08/2017;Arugot;proximity loggers
271;16/08/2017;Arugot;proximity loggers
272;16/08/2017;Arugot;proximity loggers
273;16/08/2017;Arugot;proximity loggers
274;16/08/2017;Arugot;proximity loggers
275;16/08/2017;Arugot;proximity loggers
276;16/08/2017;Arugot;proximity loggers
277;16/08/2017;Arugot;proximity loggers
278;16/08/2017;Arugot;proximity loggers
279;16/08/2017;Arugot;proximity loggers
280;16/08/2017;Arugot;proximity loggers
281;16/08/2017;Arugot;proximity loggers
282;16/08/2017;Arugot;proximity loggers
283;17/08/2017;Arugot;proximity loggers
284;17/08/2017;Arugot;proximity loggers
285;17/08/2017;Arugot;proximity loggers
286;17/08/2017;Arugot;proximity loggers
287;17/08/2017;Arugot;proximity loggers
288;17/08/2017;Arugot;proximity loggers
289;17/08/2017;Arugot;proximity loggers
290;17/08/2017;Arugot;proximity loggers
291;17/08/2017;Arugot;proximity loggers
292;17/08/2017;Arugot;proximity loggers
293;17/08/2017;Arugot;proximity loggers
294;17/08/2017;Arugot;proximity loggers
295;17/08/2017;Arugot;proximity loggers
296;17/08/2017;Arugot;proximity loggers
297;17/08/2017;Arugot;proximity loggers
298;17/08/2017;Arugot;proximity loggers
299;17/08/2017;Arugot;proximity loggers
300;17/08/2017;Arugot;proximity loggers
301;17/08/2017;Arugot;proximity loggers
302;17/08/2017;Arugot;proximity loggers
303;17/08/2017;Arugot;proximity loggers
304;17/08/2017;Arugot;proximity loggers
305;17/08/2017;Arugot;proximity loggers
306;17/08/2017;Arugot;proximity loggers
307;17/08/2017;Arugot;proximity loggers
308;17/08/2017;Arugot;proximity loggers
309;17/08/2017;Arugot;proximity loggers
310;17/08/2017;Arugot;proximity loggers
311;17/08/2017;Arugot;proximity loggers
312;18/08/2017;Arugot;proximity loggers
313;18/08/2017;Arugot;proximity loggers
314;18/08/2017;Arugot;proximity loggers
315;18/08/2017;Arugot;proximity loggers
316;18/08/2017;Arugot;proximity loggers
317;18/08/2017;Arugot;proximity loggers
318;21/07/2017;Arugot;proximity loggers
319;25/05/2017;Arugot;proximity loggers
320;28/05/2017;Arugot;proximity loggers
321;03/06/2017;Arugot;proximity loggers
