,parent_ID,offspring.ID,from,to
201,4007,486,AS07M0170,AI00M0315
202,448,487,AN99M0029,AI00F0316
203,434,488,AS99M0024,AI00M0317
204,4007,489,AS07M0170,AI00F0318
205,4007,490,AS07M0170,AI00F0319
206,434,492,AS99M0024,AS01M0051
207,448,494,AN99M0029,AI01F0053
208,396,497,AI00M0010,AI00M0320
209,396,499,AI00M0010,AI01M0322
210,398,3502,AS00M0011,AN10M0162
211,398,506,AS00M0011,AS02F0057
212,504,912,AI01M0055,AS02M0329
213,448,1069,AN99M0029,AI03F0390
214,448,1222,AN99M0029,AI04F0068
215,504,1309,AI01M0055,AI04F0088
216,448,1315,AN99M0029,AI04M0090
217,448,1319,AN99M0029,AI02M0091
218,1231,1380,DH02M0017,DU02M0379
219,448,1475,AN99M0029,AI03M0096
220,472,1916,AI00M0039,AS03F0107
221,448,1940,AN99M0029,AI04M0109
222,448,1956,AN99M0029,AI03F0111
223,1335,2304,DH02M0026,DW04M0068
224,448,2328,AN99M0029,AI03M0125
225,503,6158,AS01M0054,AS07F0191
226,1334,732,DN02M0025,DU03M0335
227,504,808,AI01M0055,AI04M0062
228,505,843,AS03M0056,AS04M0064
229,504,853,AI01M0055,AI04M0065
230,8853,1157,DN08M0122,DW04F0388
231,1022,1330,DU03M0391,DU03M0380
232,1333,1419,DH02M0024,DN07M0032
233,504,1469,AI01M0055,AN07M0095
234,1022,1533,DU03M0391,DU07F0048
235,505,1804,AS03M0056,AS04F0102
236,1339,1869,DH02M0030,DH07F0056
237,472,1898,AI00M0039,AI05M0367
238,1560,2129,AI04M0097,AI04M0113
239,1339,2159,DH02M0030,DH03F0366
240,504,2312,AI01M0055,AI09F0124
241,1334,2378,DN02M0025,DW04M0069
242,6432,2720,DU06M0338,DU04M0357
243,505,5042,AS03M0056,AS04M0343
244,504,5354,AI01M0055,AU07F0188
245,1331,673,DH02M0022,AU04F0337
246,1334,865,DN02M0025,DU04M0333
247,1323,882,AN02M0384,AS04M0331
248,505,987,AS03M0056,AS04M0323
249,1326,1123,DN02M0020,DW04F0012
250,1331,1256,DH02M0022,DU04F0386
251,1331,1301,DH02M0022,DN07M0018
252,1331,1499,DH02M0022,DH07F0046
253,2129,1560,AI04M0113,AI04M0097
254,1331,1939,DH02M0022,DH07F0058
255,1331,2202,DH02M0022,AN07M0119
256,504,2334,AI01M0055,AI04F0363
257,1339,2566,DH02M0030,DU04F0360
258,504,2649,AI01M0055,AI07F0135
259,472,2703,AI00M0039,AN07M0137
260,504,3144,AI01M0055,AN07M0147
261,505,3470,AS03M0056,AS07F0161
262,2796,203694,AS07M0141,AN12M0080
263,504,5081,AI01M0055,AI05M0342
264,504,6062,AI01M0055,AI07F0190
265,2720,6432,DU04M0357,DU06M0338
266,3647,7210,DN13M0084,DN08M0111
267,1326,8003,DN02M0020,DN07M0113
268,1331,8464,DH02M0022,DN07M0115
269,1323,975,AN02M0384,AU04M0324
270,3335,1793,DN10M0081,DN09M0035
271,73,3192,AI05M0271,AI07M0148
272,504,3518,AI01M0055,AU05F0354
273,1331,3587,DH02M0022,DN07M0083
274,1326,5228,DN02M0020,DW07F0105
275,504,5542,AI01M0055,AN07M0189
276,1319,792,AI02M0091,AS07F0061
277,504,842,AI01M0055,AI07F0063
278,1419,122217,DN07M0032,DN04M0387
279,1319,4007,AI02M0091,AS07M0170
280,1326,9415,DN02M0020,DH07F0128
281,2703,253,AN07M0137,AC09F0004
282,8464,919,DN07M0115,DW07F0011
